Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
1,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Amaraiwadi ,10th Std-Below 12th Std,1 to 2,1,House wife,Remained the same,Will worsen,Decreased,Remain the same,Increased,Will decrease,Increased,Will increase,Decreased,Will decrease,Improved,Remain the same,Increased,Will increase,Increased,Will increase
2,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Amaraiwadi ,5th Std-Below 10th Std,5 and more,2,Daily worker,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will decrease,Increased,
3,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Amaraiwadi ,Graduate,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
4,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Amaraiwadi ,Post Graduate,5 and more,3,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
5,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Bapunagar ,Below 5th Std,5 and more,4,House wife,Improved,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
6,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Bapunagar ,Illiterate,5 and more,2,House wife,Improved,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Remain the same,Increased,Remain the same,Increased,
7,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ellisbridge ,5th Std-Below 10th Std,1 to 2,1,House wife,Improved,Will improve,Decreased,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will decrease,Increased,
8,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
9,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya ,10th Std-Below 12th Std,5 and more,2,House wife,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
10,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya ,12th Std,3 or 4,1,House wife,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
