Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
1,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Amaraiwadi ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Amaraiwadi ,5th Std-Below 10th Std,5 and more,1,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Remain the same
3,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Amaraiwadi ,5th Std-Below 10th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will decrease,Increased,
4,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Bapunagar ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
5,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Danilimda ,12th Std,5 and more,1,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will decrease,Increased,
6,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Danilimda ,Graduate,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
7,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Dariyapur ,10th Std-Below 12th Std,5 and more,2,House wife,Worsened,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
8,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Dariyapur ,10th Std-Below 12th Std,5 and more,2,House wife,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
9,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Dariyapur ,12th Std,3 or 4,1,House wife,Remained the same,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
10,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ellisbridge ,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Remain the same,Increased,Will increase,Increased,Will increase
11,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ellisbridge ,10th Std-Below 12th Std,3 or 4,3,Daily worker,Improved,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
12,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ellisbridge ,10th Std-Below 12th Std,5 and more,1,Employed,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
13,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya ,Graduate,3 or 4,2,Employed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
14,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Jamalpur-Khadia ,Graduate,3 or 4,3,Employed,Improved,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Remain the same
15,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Naranpura ,10th Std-Below 12th Std,5 and more,3,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
16,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Nikol ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
17,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Nikol ,5th Std-Below 10th Std,5 and more,3,House wife,Worsened,Will worsen,Decreased,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will decrease
18,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Nikol ,Post Graduate,5 and more,2,Unemployed,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Decreased,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
19,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Thakakarbapa nagar ,Below 5th Std,5 and more,2,House wife,Worsened,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
20,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vatva ,10th Std-Below 12th Std,5 and more,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
21,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vatva ,Graduate,3 or 4,2,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
22,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vatva ,Graduate,3 or 4,2,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
23,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vatva ,Graduate,5 and more,4,House wife,Improved,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
24,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Bapunagar ,Graduate,3 or 4,2,House wife,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Remained the same,Will increase
