Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
1,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Amaraiwadi,5th Std-Below 10th Std,5 and more,4,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
2,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Asarwa,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
3,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Asarwa,10th Std-Below 12th Std,5 and more,2,Daily worker,Worsened,Will improve,Decreased,Will decrease,Increased,Will decrease,Increased,Will decrease,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
4,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Asarwa,5th Std-Below 10th Std,3 or 4,1,Daily worker,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
5,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Asarwa,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
6,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Asarwa,5th Std-Below 10th Std,3 or 4,2,Daily worker,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
7,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Asarwa,5th Std-Below 10th Std,5 and more,2,House wife,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
8,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Asarwa,5th Std-Below 10th Std,5 and more,2,House wife,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
9,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Asarwa,Below 5th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
10,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Asarwa,Below 5th Std,5 and more,2,House wife,Worsened,Will worsen,Decreased,Remain the same,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
