Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
1,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Amaraiwadi,Graduate,3 or 4,1,House wife,Worsened,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Bapunagar,5th Std-Below 10th Std,5 and more,3,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
3,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Danilimda,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Remained the same,Will increase,,Will increase
4,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Danilimda,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
5,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Danilimda,12th Std,5 and more,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
6,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Danilimda,5th Std-Below 10th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
7,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Danilimda,Graduate,5 and more,1,House wife,Remained the same,Will improve,Decreased,Will increase,Increased,Will increase,Decreased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will decrease,Increased,
8,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Dariyapur,5th Std-Below 10th Std,5 and more,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
9,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ellisbridge,12th Std,5 and more,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
10,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ellisbridge,5th Std-Below 10th Std,5 and more,2,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
